timestamp, power.draw [W] - P100, power.limit [W] - P100, power.management - P100
27:15.3, 175.24 W, 250.00 W, Enabled
27:20.3, 132.26 W, 250.00 W, Enabled
27:25.3, 126.92 W, 250.00 W, Enabled
27:30.3, 166.54 W, 250.00 W, Enabled
27:35.3, 85.64 W, 250.00 W, Enabled
27:40.3, 130.54 W, 250.00 W, Enabled
27:45.3, 168.86 W, 250.00 W, Enabled
27:50.3, 118.97 W, 250.00 W, Enabled
27:55.3, 152.51 W, 250.00 W, Enabled
28:00.3, 167.02 W, 250.00 W, Enabled
28:05.3, 107.63 W, 250.00 W, Enabled
28:10.3, 152.36 W, 250.00 W, Enabled
28:15.4, 157.44 W, 250.00 W, Enabled
28:20.4, 120.67 W, 250.00 W, Enabled
28:25.4, 172.02 W, 250.00 W, Enabled
28:30.4, 156.47 W, 250.00 W, Enabled
28:35.4, 127.64 W, 250.00 W, Enabled
28:40.4, 172.02 W, 250.00 W, Enabled
28:45.4, 76.92 W, 250.00 W, Enabled
28:50.4, 129.08 W, 250.00 W, Enabled
28:55.4, 167.98 W, 250.00 W, Enabled
29:00.4, 173.94 W, 250.00 W, Enabled
29:05.4, 157.82 W, 250.00 W, Enabled
29:10.4, 118.18 W, 250.00 W, Enabled
29:15.4, 162.07 W, 250.00 W, Enabled
29:20.4, 164.59 W, 250.00 W, Enabled
29:25.4, 163.97 W, 250.00 W, Enabled
29:30.4, 158.79 W, 250.00 W, Enabled
29:35.4, 117.27 W, 250.00 W, Enabled
29:40.4, 165.49 W, 250.00 W, Enabled
29:45.4, 159.03 W, 250.00 W, Enabled
29:50.5, 111.52 W, 250.00 W, Enabled
29:55.5, 170.08 W, 250.00 W, Enabled
30:00.5, 122.30 W, 250.00 W, Enabled
30:05.5, 127.96 W, 250.00 W, Enabled
30:10.5, 166.70 W, 250.00 W, Enabled
30:15.5, 108.29 W, 250.00 W, Enabled
30:20.5, 146.30 W, 250.00 W, Enabled
30:25.5, 156.95 W, 250.00 W, Enabled
30:30.5, 104.96 W, 250.00 W, Enabled
30:35.5, 160.00 W, 250.00 W, Enabled
30:40.5, 160.97 W, 250.00 W, Enabled
30:45.5, 112.92 W, 250.00 W, Enabled
30:50.5, 167.49 W, 250.00 W, Enabled
30:55.5, 151.72 W, 250.00 W, Enabled
31:00.5, 101.50 W, 250.00 W, Enabled
31:05.5, 167.77 W, 250.00 W, Enabled
31:10.5, 144.36 W, 250.00 W, Enabled
31:15.5, 159.61 W, 250.00 W, Enabled
31:20.5, 163.97 W, 250.00 W, Enabled
31:25.5, 127.07 W, 250.00 W, Enabled
31:30.5, 158.64 W, 250.00 W, Enabled
31:35.5, 108.11 W, 250.00 W, Enabled
31:40.6, 166.18 W, 250.00 W, Enabled
31:45.6, 83.69 W, 250.00 W, Enabled
31:50.6, 133.14 W, 250.00 W, Enabled
31:55.6, 168.85 W, 250.00 W, Enabled
32:00.6, 125.88 W, 250.00 W, Enabled
32:05.6, 158.17 W, 250.00 W, Enabled
32:10.6, 166.85 W, 250.00 W, Enabled
32:15.6, 129.03 W, 250.00 W, Enabled
32:20.6, 123.52 W, 250.00 W, Enabled
32:25.6, 159.90 W, 250.00 W, Enabled
32:30.6, 110.30 W, 250.00 W, Enabled
32:35.6, 159.85 W, 250.00 W, Enabled
32:40.6, 141.54 W, 250.00 W, Enabled
32:45.6, 123.93 W, 250.00 W, Enabled
32:50.6, 160.82 W, 250.00 W, Enabled
32:55.6, 110.49 W, 250.00 W, Enabled
33:00.6, 146.52 W, 250.00 W, Enabled
33:05.6, 157.43 W, 250.00 W, Enabled
33:10.6, 99.44 W, 250.00 W, Enabled
33:15.6, 168.39 W, 250.00 W, Enabled
33:20.6, 144.69 W, 250.00 W, Enabled
33:25.6, 93.11 W, 250.00 W, Enabled
33:30.6, 174.17 W, 250.00 W, Enabled
33:35.6, 123.50 W, 250.00 W, Enabled
33:40.7, 134.09 W, 250.00 W, Enabled
33:45.7, 169.09 W, 250.00 W, Enabled
33:50.7, 136.27 W, 250.00 W, Enabled
33:55.7, 119.88 W, 250.00 W, Enabled
34:00.7, 170.40 W, 250.00 W, Enabled
34:05.7, 159.75 W, 250.00 W, Enabled
34:10.7, 164.84 W, 250.00 W, Enabled
34:15.7, 127.33 W, 250.00 W, Enabled
34:20.7, 125.69 W, 250.00 W, Enabled
34:25.7, 154.93 W, 250.00 W, Enabled
34:30.7, 108.85 W, 250.00 W, Enabled
34:35.7, 131.93 W, 250.00 W, Enabled
34:40.7, 164.25 W, 250.00 W, Enabled
34:45.7, 136.76 W, 250.00 W, Enabled
34:50.7, 173.44 W, 250.00 W, Enabled
34:55.7, 145.63 W, 250.00 W, Enabled
35:00.7, 108.29 W, 250.00 W, Enabled
35:05.7, 167.15 W, 250.00 W, Enabled
35:10.7, 152.83 W, 250.00 W, Enabled
35:15.7, 110.05 W, 250.00 W, Enabled
35:20.7, 165.97 W, 250.00 W, Enabled
35:25.7, 121.33 W, 250.00 W, Enabled
35:30.8, 134.36 W, 250.00 W, Enabled
35:35.8, 119.45 W, 250.00 W, Enabled
35:40.8, 124.25 W, 250.00 W, Enabled
35:45.8, 88.01 W, 250.00 W, Enabled
35:50.8, 113.32 W, 250.00 W, Enabled
35:55.8, 165.20 W, 250.00 W, Enabled
36:00.8, 146.77 W, 250.00 W, Enabled
36:05.8, 102.04 W, 250.00 W, Enabled
36:10.8, 170.77 W, 250.00 W, Enabled
36:15.8, 154.68 W, 250.00 W, Enabled
36:20.8, 127.57 W, 250.00 W, Enabled
36:25.8, 167.49 W, 250.00 W, Enabled
36:30.8, 106.10 W, 250.00 W, Enabled
36:35.8, 145.82 W, 250.00 W, Enabled
36:40.8, 162.65 W, 250.00 W, Enabled
36:45.8, 114.59 W, 250.00 W, Enabled
36:50.8, 130.16 W, 250.00 W, Enabled
36:55.8, 166.28 W, 250.00 W, Enabled
37:00.8, 145.17 W, 250.00 W, Enabled
37:05.8, 97.43 W, 250.00 W, Enabled
37:10.8, 168.36 W, 250.00 W, Enabled
37:15.8, 155.89 W, 250.00 W, Enabled
37:20.8, 114.12 W, 250.00 W, Enabled
37:25.9, 144.03 W, 250.00 W, Enabled
37:30.9, 151.13 W, 250.00 W, Enabled
37:35.9, 106.10 W, 250.00 W, Enabled
37:40.9, 165.33 W, 250.00 W, Enabled
37:45.9, 149.93 W, 250.00 W, Enabled
37:50.9, 125.71 W, 250.00 W, Enabled
37:55.9, 164.60 W, 250.00 W, Enabled
38:00.9, 103.74 W, 250.00 W, Enabled
38:05.9, 134.59 W, 250.00 W, Enabled
38:10.9, 160.01 W, 250.00 W, Enabled
38:15.9, 156.64 W, 250.00 W, Enabled
38:20.9, 161.32 W, 250.00 W, Enabled
38:25.9, 132.17 W, 250.00 W, Enabled
38:30.9, 159.76 W, 250.00 W, Enabled
38:35.9, 161.06 W, 250.00 W, Enabled
38:40.9, 127.39 W, 250.00 W, Enabled
38:45.9, 169.67 W, 250.00 W, Enabled
38:50.9, 114.12 W, 250.00 W, Enabled
38:55.9, 170.65 W, 250.00 W, Enabled
39:00.9, 154.04 W, 250.00 W, Enabled
39:06.0, 118.67 W, 250.00 W, Enabled
39:11.0, 169.93 W, 250.00 W, Enabled
39:16.0, 159.06 W, 250.00 W, Enabled
39:21.0, 167.73 W, 250.00 W, Enabled
39:26.0, 155.98 W, 250.00 W, Enabled
39:31.0, 126.50 W, 250.00 W, Enabled
39:36.0, 164.94 W, 250.00 W, Enabled
39:41.0, 164.60 W, 250.00 W, Enabled
39:46.0, 120.61 W, 250.00 W, Enabled
39:51.0, 169.81 W, 250.00 W, Enabled
39:56.0, 86.85 W, 250.00 W, Enabled
40:01.0, 133.55 W, 250.00 W, Enabled
40:06.0, 163.15 W, 250.00 W, Enabled
40:11.0, 107.14 W, 250.00 W, Enabled
40:16.0, 170.65 W, 250.00 W, Enabled
40:21.0, 120.12 W, 250.00 W, Enabled
40:26.0, 121.16 W, 250.00 W, Enabled
40:31.0, 162.18 W, 250.00 W, Enabled
40:36.0, 152.69 W, 250.00 W, Enabled
40:41.0, 99.37 W, 250.00 W, Enabled
40:46.0, 166.36 W, 250.00 W, Enabled
40:51.1, 162.91 W, 250.00 W, Enabled
40:56.1, 167.75 W, 250.00 W, Enabled
41:01.1, 150.80 W, 250.00 W, Enabled
41:06.1, 130.32 W, 250.00 W, Enabled
41:11.1, 161.94 W, 250.00 W, Enabled
41:16.1, 105.44 W, 250.00 W, Enabled
41:21.1, 167.25 W, 250.00 W, Enabled
41:26.1, 152.11 W, 250.00 W, Enabled
41:31.1, 93.06 W, 250.00 W, Enabled
41:36.1, 169.81 W, 250.00 W, Enabled
41:41.1, 154.77 W, 250.00 W, Enabled
41:46.1, 126.91 W, 250.00 W, Enabled
41:51.1, 169.19 W, 250.00 W, Enabled
41:56.1, 121.09 W, 250.00 W, Enabled
42:01.1, 145.65 W, 250.00 W, Enabled
42:06.1, 168.33 W, 250.00 W, Enabled
42:11.1, 97.69 W, 250.00 W, Enabled
42:16.1, 160.49 W, 250.00 W, Enabled
42:21.1, 126.19 W, 250.00 W, Enabled
42:26.1, 111.03 W, 250.00 W, Enabled
42:31.1, 164.94 W, 250.00 W, Enabled
42:36.1, 138.87 W, 250.00 W, Enabled
42:41.1, 124.74 W, 250.00 W, Enabled
42:46.2, 166.39 W, 250.00 W, Enabled
42:51.2, 153.66 W, 250.00 W, Enabled
42:56.2, 127.16 W, 250.00 W, Enabled
43:01.2, 165.18 W, 250.00 W, Enabled
43:06.2, 107.45 W, 250.00 W, Enabled
43:11.2, 165.18 W, 250.00 W, Enabled
43:16.2, 163.86 W, 250.00 W, Enabled
43:21.2, 88.55 W, 250.00 W, Enabled
43:26.2, 137.43 W, 250.00 W, Enabled
43:31.2, 106.24 W, 250.00 W, Enabled
43:36.2, 168.23 W, 250.00 W, Enabled
43:41.2, 151.87 W, 250.00 W, Enabled
43:46.2, 120.86 W, 250.00 W, Enabled
43:51.2, 165.09 W, 250.00 W, Enabled
43:56.2, 167.75 W, 250.00 W, Enabled
44:01.2, 105.20 W, 250.00 W, Enabled
44:06.2, 122.80 W, 250.00 W, Enabled
44:11.2, 167.49 W, 250.00 W, Enabled
44:16.2, 150.51 W, 250.00 W, Enabled
44:21.2, 129.51 W, 250.00 W, Enabled
44:26.2, 168.63 W, 250.00 W, Enabled
44:31.2, 122.86 W, 250.00 W, Enabled
44:36.2, 125.47 W, 250.00 W, Enabled
44:41.3, 168.72 W, 250.00 W, Enabled
44:46.3, 134.11 W, 250.00 W, Enabled
44:51.3, 149.29 W, 250.00 W, Enabled
44:56.3, 156.47 W, 250.00 W, Enabled
45:01.3, 92.93 W, 250.00 W, Enabled
45:06.3, 129.27 W, 250.00 W, Enabled
45:11.3, 160.00 W, 250.00 W, Enabled
45:16.3, 117.84 W, 250.00 W, Enabled
45:21.3, 168.60 W, 250.00 W, Enabled
45:26.3, 155.49 W, 250.00 W, Enabled
45:31.3, 90.01 W, 250.00 W, Enabled
45:36.3, 174.41 W, 250.00 W, Enabled
45:41.3, 147.75 W, 250.00 W, Enabled
45:46.3, 124.49 W, 250.00 W, Enabled
45:51.3, 168.46 W, 250.00 W, Enabled
45:56.3, 120.44 W, 250.00 W, Enabled
46:01.3, 164.84 W, 250.00 W, Enabled
46:06.3, 123.83 W, 250.00 W, Enabled
46:11.3, 161.45 W, 250.00 W, Enabled
46:16.3, 166.21 W, 250.00 W, Enabled
46:21.4, 93.36 W, 250.00 W, Enabled
46:26.4, 156.96 W, 250.00 W, Enabled
46:31.4, 146.14 W, 250.00 W, Enabled
46:36.4, 125.47 W, 250.00 W, Enabled
46:41.4, 132.89 W, 250.00 W, Enabled
46:46.4, 155.26 W, 250.00 W, Enabled
46:51.4, 97.49 W, 250.00 W, Enabled
46:56.4, 175.62 W, 250.00 W, Enabled
47:01.4, 139.21 W, 250.00 W, Enabled
47:06.4, 123.76 W, 250.00 W, Enabled
47:11.4, 169.80 W, 250.00 W, Enabled
47:16.4, 155.99 W, 250.00 W, Enabled
47:21.4, 132.91 W, 250.00 W, Enabled
47:26.4, 169.81 W, 250.00 W, Enabled
47:31.4, 108.06 W, 250.00 W, Enabled
47:36.4, 129.59 W, 250.00 W, Enabled
47:41.4, 166.05 W, 250.00 W, Enabled
47:46.4, 141.12 W, 250.00 W, Enabled
47:51.4, 133.79 W, 250.00 W, Enabled
47:56.4, 164.84 W, 250.00 W, Enabled
48:01.4, 161.70 W, 250.00 W, Enabled
48:06.4, 103.22 W, 250.00 W, Enabled
48:11.4, 169.30 W, 250.00 W, Enabled
48:16.5, 138.24 W, 250.00 W, Enabled
48:21.5, 137.26 W, 250.00 W, Enabled
48:26.5, 167.25 W, 250.00 W, Enabled
48:31.5, 52.16 W, 250.00 W, Enabled
48:36.5, 164.21 W, 250.00 W, Enabled
48:41.5, 130.79 W, 250.00 W, Enabled
48:46.5, 158.58 W, 250.00 W, Enabled
48:51.5, 114.14 W, 250.00 W, Enabled
48:56.5, 167.42 W, 250.00 W, Enabled
49:01.5, 151.87 W, 250.00 W, Enabled
49:06.5, 94.86 W, 250.00 W, Enabled
49:11.5, 165.81 W, 250.00 W, Enabled
49:16.5, 157.58 W, 250.00 W, Enabled
49:21.5, 124.50 W, 250.00 W, Enabled
49:26.5, 166.05 W, 250.00 W, Enabled
49:31.5, 96.76 W, 250.00 W, Enabled
49:36.5, 130.73 W, 250.00 W, Enabled
49:41.5, 167.98 W, 250.00 W, Enabled
49:46.5, 159.85 W, 250.00 W, Enabled
49:51.5, 129.49 W, 250.00 W, Enabled
49:56.5, 164.36 W, 250.00 W, Enabled
50:01.6, 122.55 W, 250.00 W, Enabled
50:06.6, 147.59 W, 250.00 W, Enabled
50:11.6, 153.57 W, 250.00 W, Enabled
50:16.6, 93.11 W, 250.00 W, Enabled
50:21.6, 174.65 W, 250.00 W, Enabled
50:26.6, 140.18 W, 250.00 W, Enabled
50:31.6, 91.17 W, 250.00 W, Enabled
50:36.6, 174.92 W, 250.00 W, Enabled
50:41.6, 145.90 W, 250.00 W, Enabled
50:46.6, 115.16 W, 250.00 W, Enabled
50:51.6, 148.80 W, 250.00 W, Enabled
50:56.6, 151.72 W, 250.00 W, Enabled
51:01.6, 97.69 W, 250.00 W, Enabled
51:06.6, 158.17 W, 250.00 W, Enabled
51:11.6, 168.47 W, 250.00 W, Enabled
51:16.6, 160.58 W, 250.00 W, Enabled
51:21.6, 111.70 W, 250.00 W, Enabled
51:26.6, 160.97 W, 250.00 W, Enabled
51:31.6, 128.30 W, 250.00 W, Enabled
51:36.6, 117.47 W, 250.00 W, Enabled
51:41.6, 173.66 W, 250.00 W, Enabled
51:46.6, 157.75 W, 250.00 W, Enabled
51:51.6, 130.32 W, 250.00 W, Enabled
51:56.7, 158.41 W, 250.00 W, Enabled
52:01.7, 134.27 W, 250.00 W, Enabled
52:06.7, 144.94 W, 250.00 W, Enabled
52:11.7, 159.85 W, 250.00 W, Enabled
52:16.7, 116.61 W, 250.00 W, Enabled
52:21.7, 167.66 W, 250.00 W, Enabled
52:26.7, 149.54 W, 250.00 W, Enabled
52:31.7, 108.55 W, 250.00 W, Enabled
52:36.7, 169.50 W, 250.00 W, Enabled
52:41.7, 91.47 W, 250.00 W, Enabled
52:46.7, 125.47 W, 250.00 W, Enabled
52:51.7, 170.41 W, 250.00 W, Enabled
52:56.7, 125.21 W, 250.00 W, Enabled
53:01.7, 144.62 W, 250.00 W, Enabled
53:06.7, 156.78 W, 250.00 W, Enabled
53:11.7, 92.63 W, 250.00 W, Enabled
53:16.7, 155.51 W, 250.00 W, Enabled
53:21.7, 144.93 W, 250.00 W, Enabled
53:26.7, 111.52 W, 250.00 W, Enabled
53:31.7, 150.67 W, 250.00 W, Enabled
53:36.7, 169.12 W, 250.00 W, Enabled
53:41.8, 137.99 W, 250.00 W, Enabled
53:46.8, 96.71 W, 250.00 W, Enabled
53:51.8, 163.00 W, 250.00 W, Enabled
53:56.8, 156.95 W, 250.00 W, Enabled
54:01.8, 118.19 W, 250.00 W, Enabled
54:06.8, 167.75 W, 250.00 W, Enabled
54:11.8, 161.30 W, 250.00 W, Enabled
54:16.8, 132.98 W, 250.00 W, Enabled
54:21.8, 168.72 W, 250.00 W, Enabled
54:26.8, 151.23 W, 250.00 W, Enabled
54:31.8, 165.46 W, 250.00 W, Enabled
54:36.8, 120.91 W, 250.00 W, Enabled
54:41.8, 128.79 W, 250.00 W, Enabled
54:46.8, 155.25 W, 250.00 W, Enabled
54:51.8, 107.39 W, 250.00 W, Enabled
54:56.8, 166.70 W, 250.00 W, Enabled
55:01.8, 153.32 W, 250.00 W, Enabled
55:06.8, 97.00 W, 250.00 W, Enabled
55:11.8, 169.68 W, 250.00 W, Enabled
55:16.8, 164.84 W, 250.00 W, Enabled
55:21.8, 122.86 W, 250.00 W, Enabled
55:26.8, 170.40 W, 250.00 W, Enabled
55:31.8, 87.82 W, 250.00 W, Enabled
55:36.9, 129.10 W, 250.00 W, Enabled
55:41.9, 169.43 W, 250.00 W, Enabled
55:46.9, 160.59 W, 250.00 W, Enabled
55:51.9, 129.11 W, 250.00 W, Enabled
55:56.9, 171.12 W, 250.00 W, Enabled
56:01.9, 156.47 W, 250.00 W, Enabled
56:06.9, 125.95 W, 250.00 W, Enabled
56:11.9, 126.43 W, 250.00 W, Enabled
56:16.9, 168.63 W, 250.00 W, Enabled
56:21.9, 124.50 W, 250.00 W, Enabled
56:26.9, 147.35 W, 250.00 W, Enabled
56:31.9, 166.54 W, 250.00 W, Enabled
56:36.9, 104.29 W, 250.00 W, Enabled
56:41.9, 137.26 W, 250.00 W, Enabled
56:46.9, 154.54 W, 250.00 W, Enabled
56:51.9, 156.23 W, 250.00 W, Enabled
56:56.9, 148.08 W, 250.00 W, Enabled
57:01.9, 166.54 W, 250.00 W, Enabled
57:06.9, 125.70 W, 250.00 W, Enabled
57:11.9, 154.29 W, 250.00 W, Enabled
57:16.9, 165.97 W, 250.00 W, Enabled
57:21.9, 96.03 W, 250.00 W, Enabled
57:26.9, 160.82 W, 250.00 W, Enabled
57:32.0, 130.08 W, 250.00 W, Enabled
57:37.0, 127.33 W, 250.00 W, Enabled
57:42.0, 175.38 W, 250.00 W, Enabled
57:47.0, 159.12 W, 250.00 W, Enabled
57:52.0, 131.28 W, 250.00 W, Enabled
57:57.0, 168.94 W, 250.00 W, Enabled
58:02.0, 166.63 W, 250.00 W, Enabled
58:07.0, 134.76 W, 250.00 W, Enabled
58:12.0, 154.05 W, 250.00 W, Enabled
58:17.0, 91.95 W, 250.00 W, Enabled
58:22.0, 167.51 W, 250.00 W, Enabled
58:27.0, 154.54 W, 250.00 W, Enabled
58:32.0, 100.65 W, 250.00 W, Enabled
58:37.0, 169.19 W, 250.00 W, Enabled
58:42.0, 151.15 W, 250.00 W, Enabled
58:47.0, 167.99 W, 250.00 W, Enabled
58:52.0, 115.15 W, 250.00 W, Enabled
58:57.0, 142.52 W, 250.00 W, Enabled
59:02.0, 167.36 W, 250.00 W, Enabled
59:07.0, 151.87 W, 250.00 W, Enabled
59:12.1, 155.11 W, 250.00 W, Enabled
59:17.1, 158.65 W, 250.00 W, Enabled
59:22.1, 111.28 W, 250.00 W, Enabled
59:27.1, 161.37 W, 250.00 W, Enabled
59:32.1, 160.34 W, 250.00 W, Enabled
59:37.1, 108.06 W, 250.00 W, Enabled
59:42.1, 171.14 W, 250.00 W, Enabled
59:47.1, 148.96 W, 250.00 W, Enabled
59:52.1, 133.15 W, 250.00 W, Enabled
59:57.1, 170.15 W, 250.00 W, Enabled
00:02.1, 150.39 W, 250.00 W, Enabled
00:07.1, 126.91 W, 250.00 W, Enabled
00:12.1, 159.61 W, 250.00 W, Enabled
00:17.1, 90.49 W, 250.00 W, Enabled
00:22.1, 174.51 W, 250.00 W, Enabled
00:27.1, 156.22 W, 250.00 W, Enabled
00:32.1, 98.16 W, 250.00 W, Enabled
00:37.1, 169.93 W, 250.00 W, Enabled
00:42.1, 155.99 W, 250.00 W, Enabled
00:47.1, 129.34 W, 250.00 W, Enabled
00:52.1, 169.19 W, 250.00 W, Enabled
00:57.1, 76.15 W, 250.00 W, Enabled
01:02.2, 130.56 W, 250.00 W, Enabled
01:07.2, 171.14 W, 250.00 W, Enabled
01:12.2, 166.23 W, 250.00 W, Enabled
01:17.2, 163.97 W, 250.00 W, Enabled
01:22.2, 109.04 W, 250.00 W, Enabled
01:27.2, 168.72 W, 250.00 W, Enabled
01:32.2, 123.27 W, 250.00 W, Enabled
01:37.2, 128.62 W, 250.00 W, Enabled
01:42.2, 167.99 W, 250.00 W, Enabled
01:47.2, 149.21 W, 250.00 W, Enabled
01:52.2, 125.21 W, 250.00 W, Enabled
01:57.2, 154.46 W, 250.00 W, Enabled
02:02.2, 166.29 W, 250.00 W, Enabled
02:07.2, 122.56 W, 250.00 W, Enabled
02:12.2, 172.59 W, 250.00 W, Enabled
02:17.2, 158.41 W, 250.00 W, Enabled
02:22.2, 133.40 W, 250.00 W, Enabled
02:27.2, 171.02 W, 250.00 W, Enabled
02:32.2, 150.66 W, 250.00 W, Enabled
02:37.2, 109.28 W, 250.00 W, Enabled
02:42.2, 98.95 W, 250.00 W, Enabled
02:47.2, 125.22 W, 250.00 W, Enabled
02:52.3, 104.96 W, 250.00 W, Enabled
02:57.3, 43.41 W, 250.00 W, Enabled
03:02.3, 143.25 W, 250.00 W, Enabled
03:07.3, 162.91 W, 250.00 W, Enabled
03:12.3, 139.21 W, 250.00 W, Enabled
03:17.3, 121.34 W, 250.00 W, Enabled
03:22.3, 166.21 W, 250.00 W, Enabled
03:27.3, 128.84 W, 250.00 W, Enabled
03:32.3, 130.72 W, 250.00 W, Enabled
03:37.3, 166.54 W, 250.00 W, Enabled
03:42.3, 157.20 W, 250.00 W, Enabled
03:47.3, 147.51 W, 250.00 W, Enabled
03:52.3, 128.37 W, 250.00 W, Enabled
03:57.3, 172.96 W, 250.00 W, Enabled
04:02.3, 156.72 W, 250.00 W, Enabled
04:07.3, 126.91 W, 250.00 W, Enabled
04:12.3, 167.77 W, 250.00 W, Enabled
04:17.3, 110.48 W, 250.00 W, Enabled
04:22.3, 148.00 W, 250.00 W, Enabled
04:27.3, 168.12 W, 250.00 W, Enabled
04:32.3, 145.67 W, 250.00 W, Enabled
04:37.3, 147.37 W, 250.00 W, Enabled
04:42.3, 155.75 W, 250.00 W, Enabled
04:47.3, 100.17 W, 250.00 W, Enabled
04:52.4, 157.19 W, 250.00 W, Enabled
04:57.4, 168.23 W, 250.00 W, Enabled
05:02.4, 123.28 W, 250.00 W, Enabled
05:07.4, 162.52 W, 250.00 W, Enabled
05:12.4, 172.35 W, 250.00 W, Enabled
05:17.4, 139.59 W, 250.00 W, Enabled
05:22.4, 148.58 W, 250.00 W, Enabled
05:27.4, 170.40 W, 250.00 W, Enabled
05:32.4, 116.30 W, 250.00 W, Enabled
05:37.4, 148.31 W, 250.00 W, Enabled
05:42.4, 149.12 W, 250.00 W, Enabled
05:47.4, 164.83 W, 250.00 W, Enabled
05:52.4, 119.17 W, 250.00 W, Enabled
05:57.4, 149.46 W, 250.00 W, Enabled
06:02.4, 174.03 W, 250.00 W, Enabled
06:07.4, 159.85 W, 250.00 W, Enabled
06:12.4, 166.12 W, 250.00 W, Enabled
06:17.4, 165.42 W, 250.00 W, Enabled
06:22.4, 153.07 W, 250.00 W, Enabled
06:27.4, 120.30 W, 250.00 W, Enabled
06:32.5, 160.74 W, 250.00 W, Enabled
06:37.5, 175.81 W, 250.00 W, Enabled
06:42.5, 114.38 W, 250.00 W, Enabled
06:47.5, 135.07 W, 250.00 W, Enabled
06:52.5, 155.49 W, 250.00 W, Enabled
06:57.5, 107.39 W, 250.00 W, Enabled
07:02.5, 157.02 W, 250.00 W, Enabled
07:07.5, 164.28 W, 250.00 W, Enabled
07:12.5, 114.62 W, 250.00 W, Enabled
07:17.5, 159.12 W, 250.00 W, Enabled
07:22.5, 167.53 W, 250.00 W, Enabled
07:27.5, 136.12 W, 250.00 W, Enabled
07:32.5, 153.47 W, 250.00 W, Enabled
07:37.5, 157.93 W, 250.00 W, Enabled
07:42.5, 97.00 W, 250.00 W, Enabled
07:47.5, 153.32 W, 250.00 W, Enabled
07:52.5, 148.57 W, 250.00 W, Enabled
07:57.5, 104.72 W, 250.00 W, Enabled
08:02.5, 157.11 W, 250.00 W, Enabled
08:07.5, 167.42 W, 250.00 W, Enabled
08:12.5, 161.94 W, 250.00 W, Enabled
08:17.5, 122.13 W, 250.00 W, Enabled
08:22.5, 164.99 W, 250.00 W, Enabled
08:27.5, 122.86 W, 250.00 W, Enabled
08:32.6, 117.47 W, 250.00 W, Enabled
08:37.6, 164.76 W, 250.00 W, Enabled
08:42.6, 150.02 W, 250.00 W, Enabled
08:47.6, 99.62 W, 250.00 W, Enabled
08:52.6, 171.36 W, 250.00 W, Enabled
08:57.6, 161.06 W, 250.00 W, Enabled
09:02.6, 153.47 W, 250.00 W, Enabled
09:07.6, 138.47 W, 250.00 W, Enabled
09:12.6, 172.02 W, 250.00 W, Enabled
09:17.6, 111.75 W, 250.00 W, Enabled
09:22.6, 150.02 W, 250.00 W, Enabled
09:27.6, 156.72 W, 250.00 W, Enabled
09:32.6, 94.33 W, 250.00 W, Enabled
09:37.6, 165.09 W, 250.00 W, Enabled
09:42.6, 145.66 W, 250.00 W, Enabled
09:47.6, 113.63 W, 250.00 W, Enabled
09:52.6, 170.08 W, 250.00 W, Enabled
09:57.6, 158.40 W, 250.00 W, Enabled
10:02.6, 113.10 W, 250.00 W, Enabled
10:07.6, 167.99 W, 250.00 W, Enabled
10:12.6, 153.24 W, 250.00 W, Enabled
10:17.7, 151.23 W, 250.00 W, Enabled
10:22.7, 166.43 W, 250.00 W, Enabled
10:27.7, 105.20 W, 250.00 W, Enabled
10:32.7, 125.70 W, 250.00 W, Enabled
10:37.7, 43.17 W, 250.00 W, Enabled
10:42.7, 30.28 W, 250.00 W, Enabled
10:47.7, 29.79 W, 250.00 W, Enabled
