timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:33:26.091, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:33:31.095, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 33, 25.90 W, 250.00 W, Enabled
2025/04/13 21:33:36.099, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:33:41.103, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.88 W, 250.00 W, Enabled
2025/04/13 21:33:46.107, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:33:51.113, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:33:56.117, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:01.121, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:06.125, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:11.129, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:16.133, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:21.137, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.65 W, 250.00 W, Enabled
2025/04/13 21:34:26.142, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:31.146, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:36.152, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:41.156, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:34:46.160, P0, 1189 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 540 MiB, 11653 MiB, 0 %, 0 %, 33, 30.52 W, 250.00 W, Enabled
2025/04/13 21:34:51.165, P0, 1189 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 540 MiB, 11653 MiB, 0 %, 0 %, 33, 30.76 W, 250.00 W, Enabled
2025/04/13 21:34:56.172, P0, 1189 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 540 MiB, 11653 MiB, 0 %, 0 %, 33, 31.01 W, 250.00 W, Enabled
2025/04/13 21:35:01.176, P0, 1189 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 540 MiB, 11653 MiB, 0 %, 0 %, 33, 30.76 W, 250.00 W, Enabled
2025/04/13 21:35:06.180, P0, 1189 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 548 MiB, 11645 MiB, 0 %, 0 %, 33, 30.76 W, 250.00 W, Enabled
2025/04/13 21:35:11.184, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1408 MiB, 10785 MiB, 90 %, 20 %, 34, 36.86 W, 250.00 W, Enabled
2025/04/13 21:35:16.188, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 92 %, 24 %, 37, 107.20 W, 250.00 W, Enabled
2025/04/13 21:35:21.192, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 94 %, 25 %, 38, 122.25 W, 250.00 W, Enabled
2025/04/13 21:35:26.196, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 92 %, 25 %, 39, 113.31 W, 250.00 W, Enabled
2025/04/13 21:35:31.203, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 82 %, 24 %, 40, 101.85 W, 250.00 W, Enabled
2025/04/13 21:35:36.208, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 95 %, 20 %, 41, 78.66 W, 250.00 W, Enabled
2025/04/13 21:35:41.212, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 71 %, 20 %, 41, 80.14 W, 250.00 W, Enabled
2025/04/13 21:35:46.217, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 80 %, 21 %, 42, 94.38 W, 250.00 W, Enabled
